"   ","TEAM_SELECTED","D_EVALUATION","D_POSITION","D_YEAR","D_ID","ROWID"
"1","""DET""","Value Over Replacement Player (VORP)","1","2022","2","AACmXkAAGAAAgU+AAA"
"2","""PHX""","Win Shares","2","2022","1","AACmXkAAGAAAgU+AAB"
"3","""NYK""","NBA Efficiency","3","2022","1","AACmXkAAGAAAgU+AAC"
"4","""IND""","Win Shares","4","2022","1","AACmXkAAGAAAgU+AAD"
"5","""SAC""","Player Efficiency Rating (PER)","5","2022","1","AACmXkAAGAAAgU+AAE"
"6","""NYK""","Win Shares","6","2022","2","AACmXkAAGAAAgU+AAF"
"7","""SAS""","NBA Efficiency","7","2022","1","AACmXkAAGAAAgU+AAG"
"8","""LAL""","Advanced Stats","8","2022","2","AACmXkAAGAAAgU+AAH"
"9","""CHA""","Advanced Stats","9","2022","1","AACmXkAAGAAAgU+AAI"
"10","""HOU""","Win Shares","10","2022","1","AACmXkAAGAAAgU+AAJ"
"11","""CLE""","Value Over Replacement Player (VORP)","11","2022","1","AACmXkAAGAAAgU+AAK"
"12","""WAS""","NBA Efficiency","12","2022","1","AACmXkAAGAAAgU+AAL"
"13","""PHI""","Win Shares","13","2022","2","AACmXkAAGAAAgU+AAM"
"14","""SAC""","NBA Efficiency","14","2022","1","AACmXkAAGAAAgU+AAN"
"15","""LAC""","Advanced Stats","15","2022","1","AACmXkAAGAAAgU+AAO"
"16","""PHI""","Advanced Stats","16","2022","1","AACmXkAAGAAAgU+AAP"
"17","""ORL""","Value Over Replacement Player (VORP)","17","2022","1","AACmXkAAGAAAgU+AAQ"
"18","""MIL""","Player Efficiency Rating (PER)","18","2022","2","AACmXkAAGAAAgU+AAR"
"19","""UTA""","Advanced Stats","19","2022","1","AACmXkAAGAAAgU+AAS"
"20","""CHI""","Win Shares","20","2022","2","AACmXkAAGAAAgU+AAT"
"21","""LAC""","Value Over Replacement Player (VORP)","21","2022","1","AACmXkAAGAAAgU+AAU"
"22","""BKN""","NBA Efficiency","22","2022","2","AACmXkAAGAAAgU+AAV"
"23","""LAL""","Player Efficiency Rating (PER)","23","2022","1","AACmXkAAGAAAgU+AAW"
"24","""MEM""","Advanced Stats","24","2022","2","AACmXkAAGAAAgU+AAX"
"25","""NOP""","Value Over Replacement Player (VORP)","25","2022","2","AACmXkAAGAAAgU+AAY"
"26","""DAL""","Value Over Replacement Player (VORP)","26","2022","1","AACmXkAAGAAAgU+AAZ"
"27","""WAS""","Win Shares","27","2022","1","AACmXkAAGAAAgU+AAa"
"28","""OKC""","Advanced Stats","28","2022","1","AACmXkAAGAAAgU+AAb"
"29","""IND""","Advanced Stats","29","2022","2","AACmXkAAGAAAgU+AAc"
"30","""BOS""","Advanced Stats","30","2022","2","AACmXkAAGAAAgU+AAd"
"31","""SAC""","NBA Efficiency","31","2022","1","AACmXkAAGAAAgU+AAe"
"32","""GSW""","Value Over Replacement Player (VORP)","32","2022","1","AACmXkAAGAAAgU+AAf"
"33","ATL","Value Over Replacement Player (VORP)","33","2022","2","AACmXkAAGAAAgU+AAg"
"34","""NOP""","Player Efficiency Rating (PER)","34","2022","1","AACmXkAAGAAAgU+AAh"
"35","""NOP""","Value Over Replacement Player (VORP)","35","2022","2","AACmXkAAGAAAgU+AAi"
"36","""LAL""","Advanced Stats","36","2022","2","AACmXkAAGAAAgU+AAj"
"37","""WAS""","Advanced Stats","37","2022","2","AACmXkAAGAAAgU+AAk"
"38","""BOS""","Player Efficiency Rating (PER)","38","2022","2","AACmXkAAGAAAgU+AAl"
"39","""SAS""","NBA Efficiency","39","2022","2","AACmXkAAGAAAgU+AAm"
"40","""PHI""","Player Efficiency Rating (PER)","40","2022","1","AACmXkAAGAAAgU+AAn"
"41","""TOR""","Value Over Replacement Player (VORP)","41","2022","2","AACmXkAAGAAAgU+AAo"
"42","""MEM""","Win Shares","42","2022","1","AACmXkAAGAAAgU+AAp"
"43","""LAC""","Advanced Stats","43","2022","2","AACmXkAAGAAAgU+AAq"
"44","""DET""","Player Efficiency Rating (PER)","44","2022","1","AACmXkAAGAAAgU+AAr"
"45","""HOU""","NBA Efficiency","45","2022","2","AACmXkAAGAAAgU+AAs"
"46","""SAS""","Value Over Replacement Player (VORP)","46","2022","2","AACmXkAAGAAAgU+AAt"
