"   ","STRENGTHS","WEAKNESSES","PLAYING_STYLE","P_NAME","P_ID","TEAM_NAME","PLAYER_ID","ROWID"
"1","Passing","Poor Decision Making","Half-Court Offense","Shooting Guard","4","""MEM""","14681","AACmXpAAGAAAgVDAAA"
"2","Passing","Foul Prone","Triangle Offense","Center","3","""LAL""","18784","AACmXpAAGAAAgVDAAB"
"3","Size/Length","Poor Ball Handling","Half-Court Offense","Small Forward","4","""BKN""","14074","AACmXpAAGAAAgVDAAC"
"4","Basketball IQ","Foul Prone","Small Ball","Shooting Guard","2","""CHI""","16214","AACmXpAAGAAAgVDAAD"
"5","Size/Length","Injury Prone","Small Ball","Point Guard","3","""IND""","9775","AACmXpAAGAAAgVDAAE"
"6","Athleticism","Injury Prone","Pick-and-Roll","Center","1","""TOR""","17638","AACmXpAAGAAAgVDAAF"
"7","Versatility","Foul Prone","Isolation","Small Forward","4","""PHI""","19060","AACmXpAAGAAAgVDAAG"
"8","Rebounding","Poor Ball Handling","Triangle Offense","Point Guard","3","""IND""","12206","AACmXpAAGAAAgVDAAH"
"9","Shooting","Lack of Athleticism","Half-Court Offense","Power Forward","2","""UTA""","8335","AACmXpAAGAAAgVDAAI"
"10","Versatility","Poor Decision Making","Man-to-Man Defense","Point Guard","4","""LAC""","18825","AACmXpAAGAAAgVDAAJ"
"11","Defense","Lack of Athleticism","Pick-and-Roll","Power Forward","1","""ORL""","13911","AACmXpAAGAAAgVDAAK"
"12","Size/Length","Foul Prone","Fast Break","Point Guard","4","""DAL""","4921","AACmXpAAGAAAgVDAAL"
"13","Scoring","Injury Prone","Triangle Offense","Power Forward","1","""ORL""","3178","AACmXpAAGAAAgVDAAM"
"14","Rebounding","Weak Defense","Man-to-Man Defense","Shooting Guard","4","""WAS""","15128","AACmXpAAGAAAgVDAAN"
"15","Leadership","Foul Prone","Isolation","Power Forward","4","""CHA""","498","AACmXpAAGAAAgVDAAO"
"16","Defense","Poor Ball Handling","Half-Court Offense","Center","3","""WAS""","17383","AACmXpAAGAAAgVDAAP"
"17","Athleticism","Poor Decision Making","Isolation","Small Forward","3","""TOR""","4733","AACmXpAAGAAAgVDAAQ"
"18","Versatility","Poor Ball Handling","Pick-and-Roll","Center","5","""PHI""","15783","AACmXpAAGAAAgVDAAR"
"19","Size/Length","Lack of Experience","Isolation","Shooting Guard","2","""IND""","15581","AACmXpAAGAAAgVDAAS"
"20","Basketball IQ","Lack of Athleticism","Small Ball","Small Forward","2","""PHX""","6018","AACmXpAAGAAAgVDAAT"
"21","Versatility","Weak Defense","Pick-and-Roll","Shooting Guard","5","""NOP""","40","AACmXpAAGAAAgVDAAU"
"22","Passing","Lack of Athleticism","Zone Defense","Power Forward","4","""MEM""","11357","AACmXpAAGAAAgVDAAV"
"23","Size/Length","Injury Prone","Man-to-Man Defense","Point Guard","5","""PHI""","14660","AACmXpAAGAAAgVDAAW"
